43s	92s	73s	65o	Q2o	J4o	83s	75o	52s	85o	82s	T5o	95o	J3o	62s	54o	42s	T4o	J2o	72s	64o	T3o	32s	74o	84o	T2o
0,397259	0,397475	0,302247	0,375931	0,363115	0,365847	0,398513	0,293379	0,384995	0,386585	0,396838	0,364194	0,375635	0,363991	0,370275	0,377067	0,383053	0,366534	0,359037	0,286136	0,361235	0,364679	0,378269	0,276156	0,373752	0,359724
0,434465	0,290232	0,422909	0,427289	0,474853	0,383525	0,412042	0,419970	0,315339	0,408753	0,292511	0,387121	0,398218	0,379736	0,303780	0,423692	0,311507	0,386670	0,241484	0,290374	0,414670	0,382881	0,307605	0,407350	0,396133	0,245002
0,321672	0,374605	0,381774	0,413703	0,560912	0,475008	0,372372	0,408049	0,390975	0,399934	0,373980	0,378838	0,393369	0,442904	0,377100	0,307319	0,306763	0,251439	0,439882	0,369994	0,291046	0,343473	0,355932	0,280575	0,266868	0,342048
0,386146	0,348265	0,371766	0,483609	0,311326	0,459361	0,362977	0,480776	0,339353	0,480665	0,347225	0,461627	0,468229	0,327543	0,338357	0,476778	0,333974	0,461587	0,313676	0,338913	0,471442	0,329840	0,158686	0,468651	0,468582	0,315994
0,384382	0,540961	0,530835	0,475044	0,517428	0,532041	0,536208	0,623238	0,372430	0,632242	0,532739	0,636303	0,635022	0,526041	0,431962	0,350222	0,373923	0,532319	0,519605	0,517507	0,415769	0,526319	0,376778	0,516154	0,521810	0,519883
0,394352	0,387082	0,305686	0,371846	0,577605	0,363502	0,388576	0,296849	0,382087	0,376383	0,386901	0,353609	0,364942	0,361762	0,366410	0,374116	0,380145	0,355950	0,356535	0,289616	0,357150	0,354094	0,375361	0,279668	0,363550	0,349140
0,392470	0,377855	0,311417	0,362278	0,564783	0,573033	0,379248	0,286665	0,378727	0,366788	0,377572	0,359538	0,355456	0,569035	0,361745	0,370567	0,378263	0,358792	0,564585	0,295389	0,352565	0,357052	0,373479	0,285615	0,354004	0,351825
0,323454	0,403683	0,408860	0,437988	0,356464	0,254138	0,398005	0,431319	0,415729	0,421493	0,399727	0,402972	0,418320	0,361281	0,404742	0,311552	0,307298	0,257943	0,359916	0,396764	0,298009	0,364670	0,378590	0,286246	0,270475	0,363304
0,376610	0,546469	0,435400	0,327295	0,524183	0,537511	0,544578	0,475045	0,345393	0,646305	0,538640	0,646849	0,648804	0,531099	0,374760	0,334129	0,364324	0,537789	0,522426	0,430699	0,372086	0,531377	0,365322	0,414219	0,530472	0,522704
0,373026	0,373571	0,381518	0,311402	0,557375	0,566480	0,371243	0,300922	0,315278	0,287215	0,373235	0,475044	0,273166	0,562658	0,379565	0,307318	0,359495	0,419963	0,558811	0,369737	0,375318	0,417212	0,357953	0,364967	0,354140	0,415789
0,395401	0,397891	0,402845	0,307250	0,401277	0,363298	0,395513	0,391184	0,382927	0,383460	0,397126	0,361638	0,372652	0,362012	0,298972	0,374455	0,381506	0,363551	0,360077	0,390749	0,290027	0,362264	0,379494	0,378351	0,370627	0,360329
0,329217	0,374608	0,308462	0,419213	0,564641	0,503400	0,295798	0,413952	0,394125	0,407969	0,377514	0,382382	0,393378	0,474947	0,380250	0,419276	0,390568	0,381931	0,443167	0,373528	0,406593	0,249789	0,305263	0,401333	0,395350	0,342893
0,373397	0,439920	0,375821	0,313617	0,546220	0,551653	0,365642	0,299913	0,325419	0,285926	0,367634	0,674763	0,475044	0,551604	0,374311	0,302884	0,359866	0,551830	0,547758	0,364041	0,369692	0,551781	0,359353	0,359281	0,348556	0,547934
0,384819	0,558807	0,318825	0,354906	0,545093	0,551033	0,385804	0,304228	0,375059	0,362090	0,385005	0,553564	0,557006	0,541478	0,355572	0,363783	0,375606	0,549233	0,541421	0,317703	0,343501	0,539678	0,364454	0,296197	0,356761	0,539621
0,370847	0,560346	0,373344	0,317343	0,535669	0,545407	0,434215	0,303360	0,339809	0,475045	0,433543	0,660633	0,662869	0,536759	0,371785	0,321460	0,361880	0,545685	0,536685	0,361609	0,368185	0,537037	0,362856	0,357464	0,412628	0,536963
0,389351	0,386435	0,321115	0,359546	0,553400	0,557225	0,373288	0,300051	0,377070	0,361281	0,371613	0,562970	0,360834	0,557191	0,357615	0,364219	0,375144	0,555885	0,552741	0,305128	0,346189	0,555851	0,374606	0,279709	0,348018	0,551401
