A8s	K9s	QJo	A7s	KTo	Q9s	A5s	66	A6s	QTo	J9s	A9o	T9s	A4s	K8s	JTo	K7s	A8o	A3s	Q8s	K9o	A2s	K6s	J8s	T8s	A7o
0,681406	0,444903	0,441944	0,650434	0,428989	0,456869	0,454770	0,695007	0,524936	0,441936	0,472545	0,689169	0,479559	0,452513	0,432888	0,459214	0,432975	0,665847	0,450826	0,444855	0,410913	0,446145	0,288485	0,460530	0,467544	0,632787
0,625726	0,671097	0,418567	0,628381	0,677293	0,435454	0,640035	0,667914	0,628298	0,421772	0,446944	0,600482	0,458375	0,725788	0,641406	0,433884	0,614940	0,599655	0,604825	0,421960	0,656347	0,601373	0,583332	0,433450	0,444881	0,602589
0,766295	0,712826	0,435522	0,626355	0,722158	0,451390	0,625078	0,560911	0,622810	0,435950	0,461115	0,641873	0,470777	0,621534	0,524923	0,446460	0,372448	0,755872	0,617596	0,305426	0,699579	0,617592	0,374304	0,320226	0,334962	0,605933
0,623240	0,631081	0,689000	0,622853	0,618302	0,671357	0,593195	0,649051	0,718235	0,677345	0,443546	0,594342	0,450511	0,589743	0,622618	0,434402	0,624938	0,597220	0,586290	0,647160	0,605549	0,582454	0,716521	0,430436	0,437401	0,596795
0,618101	0,625122	0,712207	0,706404	0,611802	0,635562	0,584476	0,519224	0,578790	0,622899	0,672779	0,589314	0,440540	0,581023	0,616659	0,679255	0,704268	0,592192	0,577571	0,627099	0,599634	0,573735	0,580875	0,648733	0,427460	0,695169
0,606919	0,613881	0,637960	0,692757	0,686252	0,624321	0,569597	0,515061	0,571824	0,699374	0,633583	0,577855	0,671624	0,569593	0,605477	0,695256	0,690622	0,580734	0,566140	0,615917	0,588112	0,562305	0,573909	0,625179	0,647617	0,680433
0,667838	0,446823	0,436611	0,637326	0,427115	0,458789	0,580541	0,692632	0,601169	0,440062	0,470692	0,678167	0,482532	0,524992	0,434390	0,452946	0,434476	0,650971	0,497375	0,446356	0,412997	0,494691	0,434090	0,458259	0,470099	0,618408
0,600117	0,684636	0,619493	0,683349	0,609896	0,696393	0,567011	0,512017	0,567154	0,621050	0,690456	0,674303	0,694133	0,559094	0,595465	0,631083	0,677838	0,573776	0,559090	0,605846	0,671732	0,555254	0,566133	0,614819	0,623154	0,670195
0,629976	0,671901	0,419413	0,630013	0,681789	0,435458	0,641179	0,669697	0,629443	0,422617	0,446948	0,600933	0,458378	0,640356	0,645877	0,434729	0,616469	0,604040	0,727239	0,425796	0,657189	0,604844	0,584533	0,437286	0,448717	0,604208
0,675429	0,617364	0,608504	0,669819	0,596164	0,627783	0,558079	0,508073	0,557838	0,607294	0,634333	0,588539	0,644489	0,552247	0,671590	0,614935	0,668015	0,661470	0,543946	0,683205	0,592331	0,543942	0,560650	0,677143	0,679617	0,655586
0,623813	0,629298	0,685990	0,623426	0,619080	0,669348	0,721021	0,663142	0,624163	0,678225	0,442974	0,595510	0,458237	0,601757	0,620346	0,433831	0,622667	0,597867	0,598304	0,644824	0,603561	0,594852	0,625809	0,429864	0,444743	0,597443
0,656130	0,709884	0,442080	0,764708	0,718971	0,457098	0,624760	0,561636	0,622492	0,442079	0,464175	0,635802	0,473425	0,621216	0,681042	0,449835	0,524927	0,638358	0,617671	0,443581	0,696351	0,613733	0,403013	0,450657	0,459908	0,754162
0,483735	0,495918	0,489725	0,479753	0,482078	0,506155	0,479960	0,814034	0,473487	0,493234	0,516399	0,458722	0,526651	0,368963	0,483657	0,504401	0,482889	0,457558	0,341314	0,493853	0,470543	0,339531	0,478907	0,504058	0,514271	0,453321
0,751294	0,657317	0,730095	0,610649	0,652729	0,711269	0,612907	0,549376	0,610639	0,720862	0,452543	0,629437	0,462205	0,609362	0,747115	0,437552	0,611844	0,739791	0,605424	0,524922	0,640125	0,605420	0,612676	0,309442	0,324178	0,589021
