x	AA	KK	QQ	JJ	TT	AKs	99	AQs	AKo	AJs	KQs	88	ATs	AQo	KJs	KTs	QJs	AJo	KQo	QTs	A9s	77	ATo	JTs	KJo
K8s	0,839173	0,884210	0,685780	0,687412	0,688390	0,724839	0,682692	0,634839	0,714907	0,637983	0,710499	0,661284	0,641126	0,609176	0,701698	0,693272	0,440586	0,612634	0,698375	0,440948	0,629508	0,540638	0,616092	0,450441	0,689219
JTo	0,827382	0,842470	0,857699	0,870255	0,648781	0,648391	0,538235	0,650301	0,631216	0,724041	0,661952	0,528174	0,722632	0,633839	0,733219	0,731891	0,743069	0,713458	0,646227	0,741741	0,581117	0,517176	0,709563	0,524921	0,724143
K7s	0,835130	0,880224	0,686002	0,684218	0,684675	0,722480	0,678976	0,633092	0,712293	0,633129	0,707984	0,673277	0,635784	0,607314	0,699142	0,690676	0,446087	0,607485	0,695611	0,446066	0,624166	0,656201	0,610422	0,453090	0,686413
A8o	0,933461	0,716672	0,715488	0,716733	0,717813	0,751050	0,711764	0,745435	0,739326	0,739071	0,458812	0,699664	0,729303	0,733682	0,458732	0,459008	0,465872	0,727221	0,425474	0,466148	0,705999	0,564659	0,717068	0,475461	0,425536
A3s	0,874931	0,673885	0,674360	0,674142	0,673230	0,706720	0,665589	0,701552	0,693792	0,692794	0,426917	0,666914	0,680631	0,688526	0,429967	0,432958	0,441516	0,679339	0,398920	0,444507	0,656102	0,661797	0,666433	0,455996	0,402183
Q8s	0,822736	0,825858	0,868565	0,682723	0,683740	0,652831	0,678121	0,712941	0,628445	0,626682	0,724206	0,647566	0,629825	0,702075	0,636452	0,639595	0,700432	0,601049	0,714524	0,692087	0,618207	0,524907	0,604507	0,442398	0,611412
K9o	0,868701	0,923449	0,717880	0,719695	0,720817	0,770289	0,693279	0,655965	0,762413	0,659192	0,748124	0,557348	0,662419	0,638200	0,741882	0,732270	0,454976	0,641844	0,737157	0,455251	0,752885	0,555714	0,645488	0,464976	0,730820
A2s	0,878930	0,677519	0,677994	0,677776	0,676863	0,711039	0,669223	0,705831	0,698444	0,697032	0,427741	0,666921	0,684829	0,693136	0,430791	0,433781	0,442339	0,683908	0,399765	0,445330	0,660260	0,666996	0,670960	0,456820	0,403028
K6s	0,835009	0,880231	0,682382	0,685790	0,683353	0,723082	0,677133	0,629459	0,712890	0,633329	0,705498	0,671433	0,633366	0,603468	0,700323	0,688914	0,445271	0,607573	0,692869	0,445249	0,621260	0,670442	0,607744	0,460571	0,687562
J8s	0,806299	0,809421	0,820686	0,852534	0,679122	0,640677	0,673581	0,642321	0,615828	0,701043	0,652393	0,633682	0,618525	0,617906	0,712308	0,628295	0,707623	0,689242	0,628580	0,638278	0,606966	0,520555	0,592922	0,690931	0,701692
